,Item.itemCode,Item.itemName,Item.itemPrice,Item.itemUrl,Item.mediumImageUrls,Item.pointRate
0,glomarket:10347606,"タッシモラテマキャットベイリーズコーヒーカプセル、5パック Tassimo Latte Machiatto Baileys Coffee Capsules, Pack of 5",12329,https://hb.afl.rakuten.co.jp/hgc/g00thrda.8jil25c5.g00thrda.8jil37e6/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fglomarket%2F10347606%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fglomarket%2Fi%2F10347606%2F,[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/glomarket/cabinet/07178412/07651493/imgb074121mfk0.jpg?_ex=128x128'}],1
1,japan-ds:12037114,★まとめ買い★　ファンタ　グレープ　500mlロング缶　×24個,2353,https://hb.afl.rakuten.co.jp/hgc/g00pibma.8jil2f4c.g00pibma.8jil3b64/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjapan-ds%2F024-4902102035378e%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjapan-ds%2Fi%2F12037114%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/japan-ds/cabinet/2764/024-4902102035378e.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/japan-ds/cabinet/2764/024-4902102035378e_1.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/japan-ds/cabinet/2764_g/024-4902102035378e_3.gif?_ex=128x128'}]",1
2,ulmaxjapan2:10575862,タカハシソース　カントリーハーヴェスト 特別栽培のリンゴジュース 350ml 12本セット　023009,5331,https://hb.afl.rakuten.co.jp/hgc/g00s4o6a.8jil20f6.g00s4o6a.8jil3453/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fulmaxjapan2%2Fab-1440045%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fulmaxjapan2%2Fi%2F10575862%2F,[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/ulmaxjapan2/cabinet/88571607d61b083a1b/ab-1440045.jpg?_ex=128x128'}],1
3,glomarket:10153562,"お茶の無糖ピュアグリーンティー、2リットル Teas' Tea Tea's Tea Unsweetened Pure Green Tea, 2 Liter",5350,https://hb.afl.rakuten.co.jp/hgc/g00thrda.8jil25c5.g00thrda.8jil37e6/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fglomarket%2F10153562%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fglomarket%2Fi%2F10153562%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/glomarket/cabinet/07178412/08751746/imgb000radpoq0.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/glomarket/cabinet/rakuten_banner1.jpg?_ex=128x128'}]",1
4,vitaclub:10003587,万能ハーブ リコリスのハーブティーリコリス（甘草）ティー 16ティーバッグ,1429,https://hb.afl.rakuten.co.jp/hgc/g00pirra.8jil281e.g00pirra.8jil3f1d/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fvitaclub%2F7-td0186%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fvitaclub%2Fi%2F10003587%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_gold/vitaclub/img/products/traditionalmedi/img3291700189.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_gold/vitaclub/img/products/traditionalmedi/img3291700189-01.jpg?_ex=128x128'}]",1
5,itcube:10459843,ミニッツメイド朝リンゴ 180gパウチ 6本入×1ケース,1890,https://hb.afl.rakuten.co.jp/hgc/g00s0wfa.8jil2bce.g00s0wfa.8jil36bc/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fitcube%2F4902102084710-ccw1%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fitcube%2Fi%2F10459843%2F,[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_gold/itcube/image/normal/4902102084710.jpg?_ex=128x128'}],1
6,2hanfrenz:10020935,【ポイント4倍】最大19倍！甘酒 あまざけ 玄米 マルクラ 玄米こうじあま酒 有機米使用 250g 送料無料,789,https://hb.afl.rakuten.co.jp/hgc/g00rz6xa.8jil2c1d.g00rz6xa.8jil35df/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2F2hanfrenz%2Fmaruk-gksake%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2F2hanfrenz%2Fi%2F10020935%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/2hanfrenz/cabinet/naturalfood3/maruk-gksake.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/2hanfrenz/cabinet/naturalfood3/maruk-gksake_1.jpg?_ex=128x128'}]",1
7,karadaniekom:10008539,ローズヒップ＆ハイビスカス 300g Rosehip&Hibiscus 4954753030486 生活の木 ◆,2343,https://hb.afl.rakuten.co.jp/hgc/g00s6bva.8jil2dc3.g00s6bva.8jil30a7/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkaradaniekom%2Fksh-0882%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkaradaniekom%2Fi%2F10008539%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/karadaniekom/cabinet/seikatsunoki/seikatsunoki4/ksh-0882.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/karadaniekom/cabinet/seikatsunoki/seikatsunoki4/ksh-0882_1.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/karadaniekom/cabinet/seikatsunoki/seikatsunoki4/ksh-0882_2.jpg?_ex=128x128'}]",1
8,segp-shop:10114019,ネスカフェ ドルチェ グスト 専用カプセル リッチブレンド（16個入り）×3個,3583,https://hb.afl.rakuten.co.jp/hgc/g00rjk6a.8jil2293.g00rjk6a.8jil3827/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fsegp-shop%2F4902201402552a%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fsegp-shop%2Fi%2F10114019%2F,[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/segp-shop/cabinet/shokuhin5/4902201402552.jpg?_ex=128x128'}],1
9,shikokuumaimonya:10017239,【3ケース送料無料】　光食品 オーガニック ぶどうジュース 190g缶×30本入3ケース 90本,13500,https://hb.afl.rakuten.co.jp/hgc/g00twg1a.8jil2aa7.g00twg1a.8jil3fe9/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fshikokuumaimonya%2F10017239%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fshikokuumaimonya%2Fi%2F10017239%2F,[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/shikokuumaimonya/cabinet/08705488/compass1638622054.jpg?_ex=128x128'}],1
